Timestamp,Title,Duration,Duration (s),Type,Movie ID,Top Node ID,Device Type,Country
2020-08-13T19:16:16.192Z,The Equalizer,02:12:20,7940,Movie,70305892,70305892,1156,IN
2020-08-13T13:18:03.138Z,Unbreakable Kimmy Schmidt - Season 3: 'Kimmy Can't Help You!',32:06:00,1926,Serie,80134609,80025384,1156,IN
2020-08-13T10:52:34.896Z,Unbreakable Kimmy Schmidt - Season 3: 'Kimmy's Roommate Lemonades!',31:20:00,1880,Serie,80134608,80025384,1156,IN
2020-08-12T20:16:24.648Z,Unbreakable Kimmy Schmidt - Season 3: 'Kimmy Gets Divorced?!',30:02:00,1802,Serie,80134607,80025384,1156,IN
2020-08-12T19:24:39.303Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Finds Her Mom!',36:52:00,2212,Serie,80028237,80025384,1156,IN
2020-08-12T18:56:14.503Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Sees a Sunset!',34:24:00,2064,Serie,80028236,80025384,1156,IN
2020-08-12T18:30:30.472Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Meets a Celebrity!',31:16:00,1876,Serie,80028235,80025384,1156,IN
2020-08-12T18:04:05.817Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Goes to Her Happy Place!',30:02:00,1802,Serie,80028234,80025384,1156,IN
2020-08-12T17:39:34.341Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Meets a Drunk Lady!',30:18:00,1818,Serie,80028233,80025384,1156,IN
2020-08-12T17:16:19.916Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Goes to a Hotel!',29:24:00,1764,Serie,80028232,80025384,1156,IN
2020-08-12T13:47:00.682Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Walks Into a Bar!',31:04:00,1864,Serie,80028231,80025384,1156,IN
2020-08-11T18:21:52.631Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Drives a Car!',29:48:00,1788,Serie,80028230,80025384,1156,IN
2020-08-11T17:01:19.560Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Gives Up!',33:12:00,1992,Serie,80028229,80025384,1156,IN
2020-08-11T10:25:49.302Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Kidnaps Gretchen!',30:24:00,1824,Serie,80028228,80025384,1156,IN
2020-08-11T10:00:05.432Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Goes to a Play!',30:10:00,1810,Serie,80028227,80025384,1156,IN
2020-08-10T19:59:04.642Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Goes on a Playdate!',32:08:00,1928,Serie,80028226,80025384,1156,IN
2020-08-10T19:39:21.068Z,Unbreakable Kimmy Schmidt - Season 2: 'Kimmy Goes Roller Skating!',29:26:00,1766,Serie,80028225,80025384,1156,IN
2020-08-10T19:22:37.664Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Makes Waffles!',28:08:00,1688,Serie,80028224,80025384,1156,IN
2020-08-10T19:01:38.726Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Goes to Court!',27:12:00,1632,Serie,80028223,80025384,1156,IN
2020-08-10T18:41:45.374Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Rides a Bike!',25:43:00,1543,Serie,80028222,80025384,1156,IN
2020-08-10T18:24:25.758Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy's in a Love Triangle!',28:30:00,1710,Serie,80028221,80025384,1156,IN
2020-08-10T10:57:30.726Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Has a Birthday!',26:47:00,1607,Serie,80028220,80025384,1156,IN
2020-08-10T10:38:20.545Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy is Bad at Math!',26:25:00,1585,Serie,80028219,80025384,1156,IN
2020-08-09T21:09:02.157Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Goes to a Party!',26:09:00,1569,Serie,80028218,80025384,1156,IN
2020-08-09T20:52:15.029Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Goes to School!',24:19:00,1459,Serie,80028217,80025384,1156,IN
2020-08-09T20:33:08.009Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Kisses a Boy!',23:57,1437,Serie,80028216,80025384,1156,IN
2020-08-09T20:13:20.879Z,Unbreakable Kimmy Schmidt - Season 1: 'Kimmy Goes to the Doctor!',24:17:00,1457,Serie,80028215,80025384,1156,IN
